OrderID,OrderDate,CustomerID,CustomerName,Gender,Age,Product,Category,SubCategory,Brand,Quantity,UnitPrice,Discount,DiscountAmount,Tax,ShippingCost,TotalAmount,PaymentMethod,OrderChannel,City,State,Region,DeliveryDays,ReturnStatus,Rating,Status
ORD00001,16-Jul-25,CUST883,Rahul,Female,35,Headphones,Electronics,Headphones,Sony,2,24446,5,2444.6,8360.53,310,55117.93,Net Banking,Website,Mumbai,Maharashtra,West,1,No Return,1,Delivered
ORD00002,14-May-25,CUST657,Neha,Male,45,Keyboard,Electronics,Keyboard,Sony,2,18047,20,7218.8,5197.54,363,34435.74,Cash on Delivery,Website,Pune,Maharashtra,West,4,No Return,1,Returned
ORD00003,28-Aug-25,CUST546,Arjun,Female,29,Shoes,Fashion,Shoes,Boat,2,15876,5,1587.6,5429.59,156,35749.99,UPI,Website,Chandigarh,Punjab,North,3,No Return,4,Cancelled
ORD00004,12-Jul-25,CUST355,Priya,Female,18,Keyboard,Electronics,Keyboard,Dell,4,22930,15,13758,14033.16,264,92259.16,Cash on Delivery,Mobile App,Chandigarh,Punjab,North,10,No Return,2,Delivered
ORD00005,29-Sep-25,CUST595,Vikas,Male,22,Backpack,Accessories,Backpack,HP,3,28947,10,8684.1,14068.24,398,92623.14,Net Banking,Mobile App,Patiala,Punjab,North,6,No Return,2,Delivered
ORD00006,05-Feb-26,CUST587,Sneha,Male,45,Laptop,Electronics,Laptop,Lenovo,5,5222,10,2611,4229.82,392,28120.82,Net Banking,Mobile App,Jaipur,Rajasthan,North,6,No Return,3,Delivered
ORD00007,18-Dec-25,CUST842,Amit,Female,42,Headphones,Electronics,Headphones,Dell,3,47976,10,14392.8,23316.34,272,153123.54,Cash on Delivery,Mobile App,Mumbai,Maharashtra,West,7,Returned,1,Returned
ORD00008,04-May-25,CUST666,Arjun,Male,28,Keyboard,Electronics,Keyboard,HP,1,15216,10,1521.6,2464.99,366,16525.39,Card,Website,Bangalore,Karnataka,South,3,No Return,4,Returned
ORD00009,01-May-25,CUST794,Karan,Male,52,Camera,Electronics,Camera,Lenovo,3,39902,0,0,21547.08,82,141335.08,UPI,Website,Bangalore,Karnataka,South,8,No Return,4,Shipped
ORD00010,25-Jul-25,CUST126,Karan,Female,32,Phone,Electronics,Phone,Sony,5,20474,5,5118.5,17505.27,217,114973.77,Card,Mobile App,Lucknow,Uttar Pradesh,North,7,No Return,5,Shipped
ORD00011,24-Jun-25,CUST244,Amit,Male,22,Watch,Fashion,Watch,Dell,5,33495,0,0,30145.5,336,197956.5,Card,Website,Bangalore,Karnataka,South,10,No Return,4,Returned
ORD00012,11-Jan-26,CUST221,Arjun,Female,58,Headphones,Electronics,Headphones,Samsung,5,28508,0,0,25657.2,8,168205.2,Net Banking,Website,Delhi,Delhi,North,4,Returned,1,Returned
ORD00013,09-Nov-25,CUST100,Vikas,Female,25,Phone,Electronics,Phone,HP,3,25199,10,7559.7,12246.71,373,80657.01,UPI,Mobile App,Lucknow,Uttar Pradesh,North,6,No Return,4,Returned
ORD00014,30-Oct-25,CUST256,Anjali,Female,22,Shoes,Fashion,Shoes,Dell,3,528,5,79.2,270.86,489,2264.66,Card,Mobile App,Jaipur,Rajasthan,North,7,Returned,5,Delivered
ORD00015,13-Mar-26,CUST217,Riya,Male,19,Headphones,Electronics,Headphones,Nike,2,4978,10,995.6,1612.87,228,10801.27,Net Banking,Mobile App,Jaipur,Rajasthan,North,8,Returned,3,Shipped
ORD00016,10-Dec-25,CUST814,Anjali,Male,51,Laptop,Electronics,Laptop,Samsung,5,46989,10,23494.5,38061.09,201,249712.59,UPI,Website,Bangalore,Karnataka,South,9,Returned,4,Delivered
ORD00017,31-May-25,CUST829,Riya,Female,31,Backpack,Accessories,Backpack,HP,1,48667,5,2433.35,8322.06,58,54613.71,Card,Mobile App,Bangalore,Karnataka,South,1,Returned,2,Shipped
ORD00018,07-May-25,CUST196,Vikas,Female,31,Phone,Electronics,Phone,Boat,3,33636,10,10090.8,16347.1,272,107436.3,Card,Website,Jaipur,Rajasthan,North,1,No Return,3,Delivered
ORD00019,26-Nov-25,CUST776,Vikas,Male,55,Shoes,Fashion,Shoes,Boat,3,40213,15,18095.85,18457.77,371,121371.92,Net Banking,Website,Chandigarh,Punjab,North,6,Returned,4,Returned
ORD00020,26-Aug-25,CUST822,Riya,Female,36,Shoes,Fashion,Shoes,Samsung,4,7214,5,1442.8,4934.38,443,32790.58,Net Banking,Mobile App,Lucknow,Uttar Pradesh,North,9,No Return,5,Returned
ORD00021,28-Dec-25,CUST383,Riya,Male,54,Headphones,Electronics,Headphones,Apple,2,33517,0,0,12066.12,341,79441.12,Card,Mobile App,Jaipur,Rajasthan,North,5,Returned,3,Cancelled
ORD00022,23-Dec-25,CUST330,Priya,Female,45,Backpack,Accessories,Backpack,Samsung,1,29256,15,4388.4,4476.17,37,29380.77,Card,Mobile App,Lucknow,Uttar Pradesh,North,9,No Return,4,Cancelled
ORD00023,26-Feb-26,CUST478,Vikas,Female,31,Keyboard,Electronics,Keyboard,HP,1,36299,10,3629.9,5880.44,385,38934.54,UPI,Website,Pune,Maharashtra,West,1,No Return,1,Cancelled
ORD00024,30-Sep-25,CUST158,Amit,Male,56,Laptop,Electronics,Laptop,Boat,3,24675,15,11103.75,11325.82,294,74541.07,Card,Mobile App,Lucknow,Uttar Pradesh,North,4,No Return,4,Delivered
ORD00025,26-Mar-26,CUST442,Anjali,Female,30,Tablet,Electronics,Tablet,Apple,5,1082,20,1082,779.04,274,5381.04,Cash on Delivery,Website,Mumbai,Maharashtra,West,2,No Return,2,Shipped
ORD00026,27-Jan-26,CUST924,Sneha,Male,48,Headphones,Electronics,Headphones,Samsung,2,971,20,388.4,279.65,249,2082.25,Card,Mobile App,Mumbai,Maharashtra,West,7,No Return,2,Delivered
ORD00027,04-Apr-26,CUST380,Riya,Female,43,Mouse,Electronics,Mouse,Boat,2,12340,10,2468,3998.16,380,26590.16,UPI,Mobile App,Jaipur,Rajasthan,North,3,No Return,1,Delivered
ORD00028,12-Aug-25,CUST512,Arjun,Female,44,Phone,Electronics,Phone,Apple,4,3291,5,658.2,2251.04,242,14998.84,Net Banking,Mobile App,Jaipur,Rajasthan,North,1,No Return,3,Returned
ORD00029,14-Jun-25,CUST349,Rahul,Male,19,Tablet,Electronics,Tablet,Apple,3,44392,0,0,23971.68,464,157611.68,Net Banking,Website,Pune,Maharashtra,West,9,Returned,2,Cancelled
ORD00030,13-Dec-25,CUST583,Riya,Male,59,Phone,Electronics,Phone,HP,2,40547,20,16218.8,11677.54,177,76729.74,Cash on Delivery,Website,Lucknow,Uttar Pradesh,North,2,Returned,3,Cancelled
ORD00031,10-Oct-25,CUST279,Karan,Female,60,Headphones,Electronics,Headphones,Boat,5,31394,0,0,28254.6,446,185670.6,Cash on Delivery,Website,Bangalore,Karnataka,South,3,No Return,2,Cancelled
ORD00032,15-Feb-26,CUST354,Karan,Female,57,Camera,Electronics,Camera,Noise,2,35379,0,0,12736.44,53,83547.44,UPI,Mobile App,Pune,Maharashtra,West,4,No Return,4,Cancelled
ORD00033,30-May-25,CUST837,Karan,Female,54,Shoes,Fashion,Shoes,Dell,1,35566,20,7113.2,5121.5,467,34041.3,Cash on Delivery,Website,Bangalore,Karnataka,South,5,No Return,2,Delivered
ORD00034,05-Aug-25,CUST450,Vikas,Male,47,Camera,Electronics,Camera,Noise,1,20264,15,3039.6,3100.39,365,20689.79,Net Banking,Website,Delhi,Delhi,North,10,Returned,2,Shipped
ORD00035,21-Nov-25,CUST697,Priya,Male,37,Keyboard,Electronics,Keyboard,Apple,3,32124,5,4818.6,16479.61,285,108318.01,Net Banking,Website,Delhi,Delhi,North,9,No Return,2,Shipped
ORD00036,04-Jan-26,CUST292,Karan,Female,53,Shoes,Fashion,Shoes,Noise,5,18427,5,4606.75,15755.08,210,103493.33,UPI,Website,Bangalore,Karnataka,South,9,Returned,2,Returned
ORD00037,13-Jun-25,CUST537,Rahul,Male,57,Watch,Fashion,Watch,Nike,5,43320,10,21660,35089.2,103,230132.2,UPI,Mobile App,Jaipur,Rajasthan,North,5,No Return,5,Returned
ORD00038,11-Sep-25,CUST800,Riya,Female,52,Headphones,Electronics,Headphones,Noise,2,2134,0,0,768.24,266,5302.24,Card,Mobile App,Mumbai,Maharashtra,West,10,No Return,2,Cancelled
ORD00039,13-Sep-25,CUST563,Amit,Female,50,Shoes,Fashion,Shoes,Samsung,2,46564,0,0,16763.04,299,110190.04,UPI,Website,Pune,Maharashtra,West,10,No Return,3,Cancelled
ORD00040,08-Apr-26,CUST723,Vikas,Female,50,Keyboard,Electronics,Keyboard,HP,1,18376,15,2756.4,2811.53,486,18917.13,Net Banking,Website,Patiala,Punjab,North,4,No Return,2,Shipped
ORD00041,29-Apr-25,CUST427,Priya,Female,31,Laptop,Electronics,Laptop,Apple,4,27754,20,22203.2,15986.3,275,105074.1,Cash on Delivery,Website,Jaipur,Rajasthan,North,9,No Return,3,Cancelled
ORD00042,08-Feb-26,CUST496,Anjali,Female,48,Shoes,Fashion,Shoes,Dell,1,13832,5,691.6,2365.27,391,15896.67,UPI,Website,Chandigarh,Punjab,North,7,No Return,2,Delivered
ORD00043,19-Nov-25,CUST930,Priya,Male,57,Mouse,Electronics,Mouse,Nike,2,48320,0,0,17395.2,415,114450.2,Card,Website,Chandigarh,Punjab,North,1,Returned,4,Delivered
